fid,ele,dist_cum,lat,lon
397,2538.76,192078.590829641,33.76236,-116.654025
398,2522.22,192580.460073686,33.762519,-116.659439
399,2491.81,193128.386785287,33.760016,-116.664538
400,2500.15,193284.59219217,33.760114,-116.66622
401,2583.43,193673.484054318,33.757568,-116.669106
402,2573.75,194145.740303226,33.761553,-116.670901
403,2518.66,195062.54224941,33.769413,-116.673963
404,2477.76,195726.909787695,33.775333,-116.672872
405,2546.64,196036.768377212,33.778072,-116.67353
406,2628.21,196226.451866228,33.779782,-116.673554
407,2706.91,196411.126873021,33.781424,-116.673224
408,2732.98,196886.583637368,33.785683,-116.673805
409,2721.33,197618.12955625,33.787444,-116.681417
410,2621.29,198368.964547571,33.786575,-116.689457
411,2543.27,199225.600608625,33.780766,-116.695552
412,2484.91,199855.649860591,33.78328,-116.701652
413,2465.87,200179.428255663,33.785178,-116.704308
414,2514.83,200534.958864734,33.788113,-116.705851
415,2548.44,200959.615085401,33.791631,-116.70766
416,2589.83,201342.34581722,33.795081,-116.707734
417,2642.88,201686.601974356,33.798129,-116.707033
418,2673.15,202216.053823572,33.801099,-116.702557
419,2731.66,202579.430400544,33.801019,-116.698634
420,2733.17,203212.000837244,33.806722,-116.69864
421,2709.95,203712.998919875,33.81121,-116.69803
422,2630.1,203949.890792637,33.810836,-116.700549
423,2626.08,204638.887153416,33.81699,-116.701561
424,2651.34,205010.625807511,33.819845,-116.703664
425,2636.05,205401.350155982,33.822006,-116.706997
426,2566.78,205680.960183746,33.824387,-116.707989
427,2537.93,205850.99476705,33.825288,-116.709475
428,2570.09,206110.763137004,33.827356,-116.710792
429,2556.56,206475.464362447,33.830349,-116.712423
430,2479.86,207150.635215263,33.834579,-116.717668
431,2432.77,207703.850413936,33.836521,-116.723173
432,2383.24,208625.963936671,33.838831,-116.732743
433,2348.15,209033.685192108,33.839942,-116.736942
434,2297.84,209566.552351514,33.84463,-116.7382
435,2248.83,209949.328329063,33.847965,-116.737137
436,2175.15,210383.032733952,33.851199,-116.734503
437,2099.83,210802.413357251,33.854961,-116.73405
438,2066.4,211074.180496724,33.855222,-116.73113
439,2023.3,211281.224741019,33.856676,-116.729727
440,1967.57,211706.116130501,33.855648,-116.725304
441,1911.26,212045.21607406,33.856564,-116.721808
442,1861.26,212155.925225525,33.856798,-116.720645
443,1799.92,212729.700807101,33.861919,-116.719769
444,1730.61,213145.171869557,33.865104,-116.717406
445,1679.5,213524.682244287,33.862988,-116.714183
446,1635.23,214018.507601227,33.867425,-116.714622
447,1592.96,214176.992533197,33.866615,-116.713211
448,1520.08,214485.428650015,33.869244,-116.712125
449,1449.53,214941.564101157,33.872399,-116.708963
450,1385.85,215436.315736598,33.867951,-116.708564
451,1358.42,215657.204253386,33.869449,-116.706991
452,1311.45,215992.578144026,33.87147,-116.704295
453,1253.44,216118.468176115,33.871127,-116.702998
454,1197.02,216768.923085102,33.866227,-116.699136
455,1146.73,217169.174009228,33.864642,-116.69525
456,1093.38,217609.860172288,33.868428,-116.696694
457,1039.93,217962.427550758,33.871364,-116.695234
458,1008.46,218099.985732353,33.870127,-116.69534
459,972.26,218377.481668965,33.868917,-116.692715
460,904.92,219034.330491411,33.873842,-116.688773
461,864.09,219556.30358144,33.878453,-116.6899
462,811.29,220346.108337651,33.883829,-116.695498
463,774.11,220684.894189844,33.884633,-116.699031
464,709.93,221127.965490518,33.885527,-116.694363
465,674.63,221699.369394791,33.883474,-116.688698
466,646.46,222247.111033811,33.88056,-116.683918
467,591.16,222378.838753517,33.880781,-116.682519
468,538.89,222820.676189135,33.877275,-116.680252
469,447.95,223697.138258284,33.885057,-116.678609
470,374.58,224551.513920914,33.892247,-116.681922
471,363.71,225699.792749073,33.902321,-116.684781
472,378.37,226844.617174155,33.912642,-116.684725
473,399.57,227952.577286814,33.921033,-116.691225
474,409.33,228453.877349858,33.924524,-116.694668
475,450.2,229372.179896429,33.93214,-116.698562
476,510.31,230245.181563659,33.939967,-116.697571
477,563.05,231182.892433123,33.947174,-116.692269
478,610.15,232148.044666322,33.949725,-116.682287
479,651.54,232935.20928122,33.949166,-116.673798
480,708.81,233623.437638689,33.951121,-116.666732
481,762.22,234428.66255829,33.958108,-116.664368
482,857.52,235471.228229971,33.96653,-116.669376
483,981.44,236033.877249315,33.970125,-116.673671
484,908.49,236532.0357283,33.974583,-116.674324
485,875.66,236624.900060093,33.974105,-116.675149
486,840.93,236975.824021096,33.977225,-116.67452
487,830.67,237252.890339004,33.977715,-116.67158
488,865.88,237520.341711088,33.980125,-116.67167
489,888.3,237935.392754537,33.982366,-116.668073
490,847.78,238301.600206382,33.984887,-116.665514
491,810.64,238729.12268918,33.988586,-116.666814
492,740.73,239014.896553774,33.990385,-116.6646
493,711.77,239527.237793766,33.994739,-116.666451
494,766.95,240838.520915302,34.006013,-116.670721
495,795.01,241468.844275295,34.01162,-116.67183
496,834.14,242306.902971153,34.017482,-116.666106
497,900.43,242707.075605508,34.020649,-116.664031
498,927.21,242829.678798324,34.021109,-116.662824
499,880.55,243158.451577984,34.022991,-116.660074
500,953.85,243966.708704897,34.030066,-116.65798
501,1000.87,244432.347392959,34.02903,-116.653094
502,1036.05,244674.792189947,34.027592,-116.655071
503,1079.01,245302.221683735,34.029529,-116.648688
504,1100.36,246001.152439419,34.033185,-116.654852
505,1118,246687.891181246,34.036863,-116.660834
506,1066.6,247086.642446699,34.038481,-116.656978
507,995.08,247320.958863986,34.039255,-116.654617
508,931.09,247540.039872577,34.039401,-116.652251
509,971.44,248630.298816093,34.04639,-116.660553
510,1030.52,249705.847998993,34.051003,-116.670799
511,1047.8,250076.935765496,34.053885,-116.67284
512,1096.26,250553.181191074,34.058171,-116.672536
513,1119.24,250978.369997344,34.06151,-116.674798
514,1169.58,251625.670268755,34.064927,-116.669114
515,1202.47,252117.942489199,34.067591,-116.664849
516,1220.25,252705.660489265,34.072456,-116.667371
517,1271.21,253401.995040797,34.07811,-116.670649
518,1316.29,254032.473426257,34.083739,-116.671596
519,1363.67,254451.456651218,34.087515,-116.671711
520,1398.51,254901.279204171,34.091332,-116.673357
521,1441.68,255350.372540028,34.094218,-116.67677
522,1501.23,256112.553988893,34.100432,-116.680295
523,1537.64,256616.947676356,34.104967,-116.680695
524,1574.2,257080.676361212,34.10853,-116.683324
525,1652.37,257912.538014635,34.113439,-116.69014
526,1746.46,258996.875715218,34.120592,-116.698151
527,1799.39,259534.89098568,34.124222,-116.702019
528,1863.53,260302.505533877,34.128255,-116.708781
529,1914.64,260523.208395572,34.127328,-116.710898
530,2025.46,260848.880958033,34.127072,-116.714415
531,2032.47,261306.900577733,34.128854,-116.718894
532,2033.5,261618.953410539,34.129719,-116.722113
533,2081.48,261797.977435672,34.128566,-116.723471
534,2127,262311.120850827,34.129421,-116.728938
535,2196.88,262805.536736396,34.128622,-116.734211
536,2237.04,263224.291929894,34.128263,-116.73873
537,2302,263838.62030878,34.128605,-116.745377
538,2378.95,264362.05793993,34.127208,-116.750797
539,2412.94,265021.236763262,34.126317,-116.757862
540,2455.29,265244.281000891,34.128014,-116.759159
541,2497.42,265462.52430953,34.129979,-116.759278
542,2494.39,265918.968461976,34.132788,-116.755662
543,2473.69,266251.374384432,34.133152,-116.752085
544,2497.6,266776.749042182,34.133006,-116.746392
545,2435.19,267385.08401783,34.135349,-116.740429
546,2472.72,267919.93662676,34.140154,-116.740912
547,2516.05,268365.442538656,34.143929,-116.742561
548,2594.17,268965.093217512,34.148043,-116.746779
549,2598.53,269705.764343436,34.146351,-116.73901
550,2601.71,270190.147418018,34.146178,-116.733762
551,2565.21,270870.443452147,34.142606,-116.727766
552,2520.09,271516.447524513,34.145375,-116.721604
553,2479.27,272055.088323928,34.147482,-116.716342
554,2500.83,272424.31260645,34.15035,-116.71431
555,2548.83,272531.894424935,34.150963,-116.715214
556,2610.08,272934.683267977,34.154422,-116.716543
557,2658.33,273419.856780345,34.157441,-116.712736
558,2651.74,273795.567042923,34.160826,-116.712878
559,2604.49,273979.633594278,34.16028,-116.710993
560,2533.7,274581.034823738,34.165701,-116.71089
